# src_row, src_col, dst_row, dst_col, weight, edge_type
165, 115, 165, 95, 20.000, contour
165, 95, 164, 93, 2.236, contour
164, 93, 162, 90, 3.606, contour
162, 90, 160, 88, 2.828, contour
160, 88, 157, 86, 3.606, contour
157, 86, 155, 85, 2.236, contour
155, 85, 135, 85, 20.000, contour
135, 85, 115, 85, 20.000, contour
115, 85, 95, 85, 20.000, contour
95, 85, 93, 86, 2.236, contour
93, 86, 90, 88, 3.606, contour
90, 88, 88, 90, 2.828, contour
88, 90, 86, 93, 3.606, contour
14, 14, 34, 14, 20.000, contour
14, 14, 14, 34, 20.000, contour
34, 14, 54, 14, 20.000, contour
54, 14, 75, 14, 21.000, contour
75, 14, 95, 14, 20.000, contour
95, 14, 116, 14, 21.000, contour
116, 14, 136, 14, 20.000, contour
136, 14, 157, 14, 21.000, contour
157, 14, 177, 14, 20.000, contour
177, 14, 198, 14, 21.000, contour
198, 14, 218, 14, 20.000, contour
218, 14, 239, 14, 21.000, contour
239, 14, 259, 14, 20.000, contour
259, 14, 280, 14, 21.000, contour
280, 14, 300, 14, 20.000, contour
300, 14, 321, 14, 21.000, contour
321, 14, 341, 14, 20.000, contour
341, 14, 362, 14, 21.000, contour
362, 14, 382, 14, 20.000, contour
382, 14, 403, 14, 21.000, contour
403, 14, 423, 14, 20.000, contour
423, 14, 444, 14, 21.000, contour
444, 14, 464, 14, 20.000, contour
464, 14, 485, 14, 21.000, contour
485, 14, 485, 34, 20.000, contour
485, 34, 485, 54, 20.000, contour
485, 54, 485, 75, 21.000, contour
485, 75, 485, 95, 20.000, contour
485, 95, 485, 116, 21.000, contour
485, 116, 485, 136, 20.000, contour
485, 136, 485, 157, 21.000, contour
485, 157, 485, 177, 20.000, contour
485, 177, 485, 198, 21.000, contour
485, 198, 485, 218, 20.000, contour
485, 218, 485, 239, 21.000, contour
485, 239, 485, 259, 20.000, contour
485, 259, 485, 280, 21.000, contour
485, 280, 485, 300, 20.000, contour
485, 300, 485, 321, 21.000, contour
485, 321, 485, 341, 20.000, contour
485, 341, 485, 362, 21.000, contour
485, 362, 485, 382, 20.000, contour
485, 382, 485, 403, 21.000, contour
485, 403, 485, 423, 20.000, contour
485, 423, 485, 444, 21.000, contour
485, 444, 485, 464, 20.000, contour
485, 464, 485, 485, 21.000, contour
485, 485, 464, 485, 21.000, contour
464, 485, 444, 485, 20.000, contour
444, 485, 423, 485, 21.000, contour
423, 485, 403, 485, 20.000, contour
403, 485, 382, 485, 21.000, contour
382, 485, 362, 485, 20.000, contour
362, 485, 341, 485, 21.000, contour
341, 485, 321, 485, 20.000, contour
321, 485, 300, 485, 21.000, contour
300, 485, 280, 485, 20.000, contour
280, 485, 259, 485, 21.000, contour
259, 485, 239, 485, 20.000, contour
239, 485, 218, 485, 21.000, contour
218, 485, 198, 485, 20.000, contour
198, 485, 177, 485, 21.000, contour
177, 485, 157, 485, 20.000, contour
157, 485, 136, 485, 21.000, contour
136, 485, 116, 485, 20.000, contour
116, 485, 95, 485, 21.000, contour
95, 485, 75, 485, 20.000, contour
75, 485, 54, 485, 21.000, contour
54, 485, 34, 485, 20.000, contour
34, 485, 14, 485, 20.000, contour
14, 485, 14, 464, 21.000, contour
14, 464, 14, 444, 20.000, contour
14, 444, 14, 423, 21.000, contour
14, 423, 14, 403, 20.000, contour
14, 403, 14, 382, 21.000, contour
14, 382, 14, 362, 20.000, contour
14, 362, 14, 341, 21.000, contour
14, 341, 14, 321, 20.000, contour
14, 321, 14, 300, 21.000, contour
14, 300, 14, 280, 20.000, contour
14, 280, 14, 259, 21.000, contour
14, 259, 14, 239, 20.000, contour
14, 239, 14, 218, 21.000, contour
14, 218, 14, 198, 20.000, contour
14, 198, 14, 177, 21.000, contour
14, 177, 14, 157, 20.000, contour
14, 157, 14, 136, 21.000, contour
14, 136, 14, 116, 20.000, contour
14, 116, 14, 95, 21.000, contour
14, 95, 14, 75, 20.000, contour
14, 75, 14, 54, 21.000, contour
14, 54, 14, 34, 20.000, contour
